964812792 | comment | 03-05-2023 | 1,2,4,5 | 202004407 | 202004415 | 111497 | true
1593521345 | comment | 03-05-2023 | 1,2,4,5 | 202004407 | 202004415 | 111497 | false
164949188 | comment | 03-05-2023 | 1,2,4,5 | 202004407 | 202004415 | 111497 | false
279570992 | All good | 2022-05-05 | 5,4,2,5 | 202004405 | 202004413 | 111490 | false
1907394862 | Good Dr | 2022-05-05 | 4,5,4,5 | 202004408 | 202004419 | 111498 | false
619536792 | bad course | 2022-05-05 | 2,3,3,3 | 202004402 | 202004433 | 111493 | false
1345728583 | good course | 2022-05-05 | 3,3,1,1 | 202004411 | 202004433 | 111501 | false
1824738403 | bad  ****t  *** review | 2022-05-05 | 1,1,1,1 | 202004405 | 202004410 | 111490 | true
640023153 | hello nice  *** e  | 2022-05-05 | 1,1,1,1 | 202004405 | 202004410 | 111490 | false
1417990795 | godd and bad | 2022-05-06 | 5,5,5,5 | 202004405 | 202004410 | 111490 | true
